
---------- Begin Simulation Statistics ----------
simSeconds                                   0.118809                       # Number of seconds simulated (Second)
system.cpu.StoreSet__0.baseUsingStoreSetCheck    295649555                       # Number of times base case uses storeset (Count)
system.cpu.StoreSet__0.BypassStoreSetCheck     82437166                       # Number of time we bypass storeset stores due to alias analysis (Count)
system.cpu.StoreSet__0.SSITCollisions       119330372                       # Number of times two different PCs hash to the same SSIT entry within a clear period. (Count)
system.cpu.StoreSet__0.SSITOverwrites            4356                       # Number of times an existing SSIT entry is overwritten (Count)
system.cpu.StoreSet__0.LFSTInvalidations     11056800                       # Number of times an issued store has to invalidate itself in LFST. (Count)
system.cpu.StoreSet__1.insertedLoads                0                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu.StoreSet__1.insertedStores               0                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu.StoreSet__1.conflictingLoads             0                       # Number of conflicting loads. (Count)
system.cpu.StoreSet__1.conflictingStores            0                       # Number of conflicting stores. (Count)
system.cpu.StoreSet__1.baseUsingStoreSetCheck            0                       # Number of times base case uses storeset (Count)
system.cpu.StoreSet__1.BypassStoreSetCheck            0                       # Number of time we bypass storeset stores due to alias analysis (Count)
system.cpu.StoreSet__1.SSITCollisions               0                       # Number of times two different PCs hash to the same SSIT entry within a clear period. (Count)
system.cpu.StoreSet__1.SSITOverwrites               0                       # Number of times an existing SSIT entry is overwritten (Count)
system.cpu.StoreSet__1.LFSTInvalidations            0                       # Number of times an issued store has to invalidate itself in LFST. (Count)
system.cpu.StoreSet__2.insertedLoads                0                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu.StoreSet__2.insertedStores               0                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu.StoreSet__2.conflictingLoads             0                       # Number of conflicting loads. (Count)
system.cpu.StoreSet__2.conflictingStores            0                       # Number of conflicting stores. (Count)
system.cpu.StoreSet__2.baseUsingStoreSetCheck            0                       # Number of times base case uses storeset (Count)
system.cpu.StoreSet__2.BypassStoreSetCheck            0                       # Number of time we bypass storeset stores due to alias analysis (Count)
system.cpu.StoreSet__2.SSITCollisions               0                       # Number of times two different PCs hash to the same SSIT entry within a clear period. (Count)
system.cpu.StoreSet__2.SSITOverwrites               0                       # Number of times an existing SSIT entry is overwritten (Count)
system.cpu.StoreSet__2.LFSTInvalidations            0                       # Number of times an issued store has to invalidate itself in LFST. (Count)
system.cpu.StoreSet__3.insertedLoads                0                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu.StoreSet__3.insertedStores               0                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu.StoreSet__3.conflictingLoads             0                       # Number of conflicting loads. (Count)
system.cpu.StoreSet__3.conflictingStores            0                       # Number of conflicting stores. (Count)
system.cpu.StoreSet__3.baseUsingStoreSetCheck            0                       # Number of times base case uses storeset (Count)
system.cpu.StoreSet__3.BypassStoreSetCheck            0                       # Number of time we bypass storeset stores due to alias analysis (Count)
system.cpu.StoreSet__3.SSITCollisions               0                       # Number of times two different PCs hash to the same SSIT entry within a clear period. (Count)
system.cpu.StoreSet__3.SSITOverwrites               0                       # Number of times an existing SSIT entry is overwritten (Count)
system.cpu.StoreSet__3.LFSTInvalidations            0                       # Number of times an issued store has to invalidate itself in LFST. (Count)
system.cpu.branchPred.lookups                42572011                       # Number of BP lookups (Count)
system.cpu.branchPred.condPredicted          38872703                       # Number of conditional branches predicted (Count)
system.cpu.branchPred.condIncorrect           1066561                       # Number of conditional branches incorrect (Count)
system.cpu.branchPred.BTBLookups             35648598                       # Number of BTB lookups (Count)
system.cpu.branchPred.BTBHits                35645778                       # Number of BTB hits (Count)
system.cpu.branchPred.BTBHitRatio            0.999921                       # BTB Hit Ratio (Ratio)
system.cpu.branchPred.RASUsed                 1520984                       # Number of times the RAS was used to get a target. (Count)
system.cpu.branchPred.RASIncorrect                  4                       # Number of incorrect RAS predictions. (Count)
